ring,sex,colony,pair_ID,cycle_pair,year_t,season_outcome,next_season,season_tru
6207508,F,pyramiden,6207521_6207508,2021_6207521_6207508,2021,NA,NA,NA
6234569,F,pyramiden,6207524_6234569,2021_6207524_6234569,2021,NA,NA,NA
6207541,F,pyramiden,6207525_6207541,2021_6207525_6207541,2021,0,0,0
6207541,F,pyramiden,6207525_6207541,2022_6207525_6207541,2022,NA,NA,NA
6207515,F,pyramiden,6207526_6207515,2021_6207526_6207515,2021,0,0,0
6207515,F,pyramiden,6207526_6207515,2022_6207526_6207515,2022,NA,NA,NA
6234588,F,pyramiden,6207532_6234588,2021_6207532_6234588,2021,NA,NA,NA
6234589,F,pyramiden,6207534_6234589,2021_6207534_6234589,2021,NA,NA,NA
6234176,F,pyramiden,6207535_6234176,2021_6207535_6234176,2021,NA,NA,NA
6234548,F,pyramiden,6207538_6234548,2021_6207538_6234548,2021,0,0,0
6234548,F,pyramiden,6207538_6234548,2022_6207538_6234548,2022,NA,NA,NA
6207518,F,pyramiden,6207540_6207518,2021_6207540_6207518,2021,NA,NA,NA
6207537,F,pyramiden,6234173_6207537,2021_6234173_6207537,2021,0,0,0
6207537,F,pyramiden,6234173_6207537,2022_6234173_6207537,2022,NA,NA,NA
6207520,F,pyramiden,6234174_6207520,2021_6234174_6207520,2021,0,0,0
6207520,F,pyramiden,6234174_6207520,2022_6234174_6207520,2022,NA,NA,NA
6234765,F,pyramiden,6234451_6234765,2019_6234451_6234765,2019,0,NA,0
6234765,F,pyramiden,6234451_6234765,2021_6234451_6234765,2021,NA,NA,NA
6234765,F,pyramiden,6234451_6234765,2018_p_6234451_6234765,2018_p,0,NA,0
6234757,F,pyramiden,6234454_6234757,2018_p_6234454_6234757,2018_p,NA,NA,NA
6234759,F,pyramiden,6234455_6234759,2019_6234455_6234759,2019,0,NA,0
6234759,F,pyramiden,6234455_6234759,2021_6234455_6234759,2021,NA,NA,NA
6234759,F,pyramiden,6234455_6234759,2018_p_6234455_6234759,2018_p,0,NA,0
6234770,F,pyramiden,6234458_6234770,2019_6234458_6234770,2019,0,NA,0
6234770,F,pyramiden,6234458_6234770,2021_6234458_6234770,2021,NA,NA,NA
6234770,F,pyramiden,6234458_6234770,2018_p_6234458_6234770,2018_p,0,NA,0
6234772,F,pyramiden,6234459_6234772,2018_p_6234459_6234772,2018_p,1,NA,1
6234773,F,pyramiden,6234460_6234773,2019_6234460_6234773,2019,0,NA,0
6234773,F,pyramiden,6234460_6234773,2021_6234460_6234773,2021,NA,NA,NA
6234773,F,pyramiden,6234460_6234773,2018_p_6234460_6234773,2018_p,0,NA,0
6234738,F,pyramiden,6234461_6234738,2019_6234461_6234738,2019,0,NA,0
6234738,F,pyramiden,6234461_6234738,2021_6234461_6234738,2021,NA,NA,NA
6234774,F,pyramiden,6234461_6234774,2018_p_6234461_6234774,2018_p,1,NA,NA
6234785,F,pyramiden,6234466_6234785,2019_6234466_6234785,2019,0,NA,0
6234785,F,pyramiden,6234466_6234785,2021_6234466_6234785,2021,NA,NA,NA
6234785,F,pyramiden,6234466_6234785,2018_p_6234466_6234785,2018_p,0,NA,0
6234787,F,pyramiden,6234467_6234787,2019_6234467_6234787,2019,0,NA,0
6234787,F,pyramiden,6234467_6234787,2021_6234467_6234787,2021,NA,NA,NA
6234788,F,pyramiden,6234468_6234788,2018_p_6234468_6234788,2018_p,NA,NA,NA
6234790,F,pyramiden,6234470_6234790,2018_p_6234470_6234790,2018_p,1,NA,NA
6234791,F,pyramiden,6234471_6234791,2019_6234471_6234791,2019,0,NA,0
6234791,F,pyramiden,6234471_6234791,2021_6234471_6234791,2021,NA,NA,NA
6234796,F,pyramiden,6234474_6234796,2019_6234474_6234796,2019,0,NA,0
6234796,F,pyramiden,6234474_6234796,2021_6234474_6234796,2021,0,1,0
6234796,F,pyramiden,6234474_6234796,2022_6234474_6234796,2022,NA,NA,NA
6234796,F,pyramiden,6234474_6234796,2018_p_6234474_6234796,2018_p,0,NA,0
6234731,F,pyramiden,6234476_6234731,2021_6234476_6234731,2021,NA,NA,NA
6234800,F,pyramiden,6234476_6234800,2018_p_6234476_6234800,2018_p,NA,NA,NA
6234601,F,pyramiden,6234477_6234601,2019_6234477_6234601,2019,0,NA,0
6234601,F,pyramiden,6234477_6234601,2021_6234477_6234601,2021,NA,NA,NA
6234465,F,pyramiden,6234507_6234465,2019_6234507_6234465,2019,0,NA,0
6234465,F,pyramiden,6234507_6234465,2021_6234507_6234465,2021,NA,NA,NA
6234465,F,pyramiden,6234507_6234465,2018_p_6234507_6234465,2018_p,0,NA,0
6207539,F,pyramiden,6234508_6207539,2021_6234508_6207539,2021,NA,NA,NA
6234781,F,pyramiden,6234508_6234781,2018_p_6234508_6234781,2018_p,NA,NA,NA
6234777,F,pyramiden,6234509_6234777,2021_6234509_6234777,2021,0,0,0
6234777,F,pyramiden,6234509_6234777,2022_6234509_6234777,2022,NA,NA,NA
6234777,F,pyramiden,6234509_6234777,2018_p_6234509_6234777,2018_p,0,NA,0
6234766,F,pyramiden,6234510_6234766,2019_6234510_6234766,2019,0,NA,0
6234766,F,pyramiden,6234510_6234766,2021_6234510_6234766,2021,0,1,0
6234766,F,pyramiden,6234510_6234766,2022_6234510_6234766,2022,NA,NA,NA
6234766,F,pyramiden,6234510_6234766,2018_p_6234510_6234766,2018_p,0,NA,0
6234582,F,pyramiden,6234513_6234582,2021_6234513_6234582,2021,0,0,0
6234582,F,pyramiden,6234513_6234582,2022_6234513_6234582,2022,NA,NA,NA
6234795,F,pyramiden,6234513_6234795,2018_p_6234513_6234795,2018_p,1,NA,NA
6234720,F,pyramiden,6234516_6234720,2019_6234516_6234720,2019,0,NA,0
6234720,F,pyramiden,6234516_6234720,2021_6234516_6234720,2021,NA,NA,NA
6234760,F,pyramiden,6234516_6234760,2018_p_6234516_6234760,2018_p,1,NA,NA
6234525,F,pyramiden,6234524_6234525,2019_6234524_6234525,2019,NA,NA,NA
6234603,F,pyramiden,6234524_6234603,2018_p_6234524_6234603,2018_p,1,NA,NA
6234486,F,pyramiden,6234526_6234486,2018_p_6234526_6234486,2018_p,NA,NA,NA
6234481,F,pyramiden,6234527_6234481,2018_p_6234527_6234481,2018_p,NA,NA,NA
6234609,F,pyramiden,6234528_6234609,2019_6234528_6234609,2019,NA,NA,NA
6234783,F,pyramiden,6234549_6234783,2018_p_6234549_6234783,2018_p,NA,NA,NA
6207513,F,pyramiden,6234565_6207513,2021_6234565_6207513,2021,NA,NA,NA
6234511,F,pyramiden,6234567_6234511,2021_6234567_6234511,2021,0,0,0
6234511,F,pyramiden,6234567_6234511,2022_6234567_6234511,2022,NA,NA,NA
6234583,F,pyramiden,6234571_6234583,2021_6234571_6234583,2021,0,NA,0
6234583,F,pyramiden,6234571_6234583,2022_6234571_6234583,2022,NA,NA,NA
6234193,F,pyramiden,6234572_6234193,2021_6234572_6234193,2021,1,NA,NA
Unringed,F,pyramiden,6234572_Unringed,2022_6234572_Unringed,2022,NA,NA,NA
6234590,F,pyramiden,6234573_6234590,2021_6234573_6234590,2021,0,0,0
6234590,F,pyramiden,6234573_6234590,2022_6234573_6234590,2022,NA,NA,NA
6207533,F,pyramiden,6234575_6207533,2021_6234575_6207533,2021,NA,NA,NA
6207510,F,pyramiden,6234576_6207510,2021_6234576_6207510,2021,0,0,0
6207510,F,pyramiden,6234576_6207510,2022_6234576_6207510,2022,NA,NA,NA
6207509,F,pyramiden,6234578_6207509,2021_6234578_6207509,2021,1,1,NA
6234515,F,pyramiden,6234579_6234515,2021_6234579_6234515,2021,NA,NA,NA
6234739,F,pyramiden,6234580_6234739,2021_6234580_6234739,2021,NA,NA,NA
6234721,F,pyramiden,6234581_6234721,2021_6234581_6234721,2021,NA,NA,NA
6234570,F,pyramiden,6234584_6234570,2021_6234584_6234570,2021,NA,NA,NA
6234568,F,pyramiden,6234585_6234568,2021_6234585_6234568,2021,NA,NA,NA
6234577,F,pyramiden,6234587_6234577,2021_6234587_6234577,2021,1,NA,1
6234528,F,pyramiden,6234587_6234528,2022_6234587_6234528,2022,NA,NA,NA
6207519,F,pyramiden,6234591_6207519,2021_6234591_6207519,2021,0,0,0
6207519,F,pyramiden,6234591_6207519,2022_6234591_6207519,2022,NA,NA,NA
6234525,F,pyramiden,6234602_6234525,2018_p_6234602_6234525,2018_p,1,NA,NA
6234724,F,pyramiden,6234606_6234724,2021_6234606_6234724,2021,1,NA,NA
6234481,F,pyramiden,6234606_6234481,2022_6234606_6234481,2022,NA,NA,NA
6234643,F,pyramiden,6234606_6234643,2018_p_6234606_6234643,2018_p,NA,NA,NA
6234741,F,pyramiden,6234607_6234741,2019_6234607_6234741,2019,0,NA,0
6234741,F,pyramiden,6234607_6234741,2021_6234607_6234741,2021,NA,NA,NA
6234574,F,pyramiden,6234608_6234574,2021_6234608_6234574,2021,1,0,1
6234480,F,pyramiden,6234608_6234480,2018_p_6234608_6234480,2018_p,NA,NA,NA
6234529,F,pyramiden,6234613_6234529,2021_6234613_6234529,2021,0,0,0
6234529,F,pyramiden,6234613_6234529,2022_6234613_6234529,2022,NA,NA,NA
6234783,F,pyramiden,6234625_6234783,2022_6234625_6234783,2022,NA,NA,NA
6234728,F,pyramiden,6234702_6234728,2019_6234702_6234728,2019,NA,NA,NA
6207516,F,pyramiden,6234702_6207516,2021_6234702_6207516,2021,0,1,0
6207516,F,pyramiden,6234702_6207516,2022_6234702_6207516,2022,NA,NA,NA
6234650,F,pyramiden,6234702_6234650,2018_p_6234702_6234650,2018_p,1,NA,NA
6234730,F,pyramiden,6234725_6234730,2019_6234725_6234730,2019,0,NA,0
6234730,F,pyramiden,6234725_6234730,2021_6234725_6234730,2021,0,1,0
6234730,F,pyramiden,6234725_6234730,2022_6234725_6234730,2022,NA,NA,NA
6234721,F,pyramiden,6234726_6234721,2019_6234726_6234721,2019,NA,NA,NA
6234742,F,pyramiden,6234727_6234742,2019_6234727_6234742,2019,NA,NA,NA
6234795,F,pyramiden,6234727_6234795,2021_6234727_6234795,2021,NA,NA,NA
6234719,F,pyramiden,6234729_6234719,2019_6234729_6234719,2019,0,NA,0
6234719,F,pyramiden,6234729_6234719,2021_6234729_6234719,2021,0,0,0
6234719,F,pyramiden,6234729_6234719,2022_6234729_6234719,2022,NA,NA,NA
6234722,F,pyramiden,6234732_6234722,2019_6234732_6234722,2019,NA,NA,NA
6234788,F,pyramiden,6234732_6234788,2021_6234732_6234788,2021,NA,NA,NA
6234723,F,pyramiden,6234733_6234723,2019_6234733_6234723,2019,0,NA,0
6234723,F,pyramiden,6234733_6234723,2021_6234733_6234723,2021,NA,NA,NA
6234724,F,pyramiden,6234734_6234724,2019_6234734_6234724,2019,NA,NA,NA
6234175,F,pyramiden,6234734_6234175,2022_6234734_6234175,2022,NA,NA,NA
6234472,F,pyramiden,6234735_6234472,2019_6234735_6234472,2019,NA,NA,NA
6234747,F,pyramiden,6234737_6234747,2019_6234737_6234747,2019,0,NA,0
6234747,F,pyramiden,6234737_6234747,2021_6234737_6234747,2021,0,1,0
6234747,F,pyramiden,6234737_6234747,2022_6234737_6234747,2022,NA,NA,NA
6234611,F,pyramiden,6234744_6234611,2019_6234744_6234611,2019,0,NA,0
6234611,F,pyramiden,6234744_6234611,2021_6234744_6234611,2021,0,1,0
6234611,F,pyramiden,6234744_6234611,2022_6234744_6234611,2022,NA,NA,NA
6234478,F,pyramiden,6234745_6234478,2019_6234745_6234478,2019,0,NA,0
6234478,F,pyramiden,6234745_6234478,2021_6234745_6234478,2021,0,1,0
6234478,F,pyramiden,6234745_6234478,2022_6234745_6234478,2022,NA,NA,NA
6234736,F,pyramiden,6234748_6234736,2019_6234748_6234736,2019,NA,NA,NA
6234531,F,pyramiden,6234755_6234531,2018_p_6234755_6234531,2018_p,NA,NA,NA
6234547,F,pyramiden,6234756_6234547,2019_6234756_6234547,2019,NA,NA,NA
6234547,F,pyramiden,6234756_6234547,2018_p_6234756_6234547,2018_p,0,NA,0
6234511,F,pyramiden,6234758_6234511,2018_p_6234758_6234511,2018_p,NA,NA,NA
6234772,F,pyramiden,6234761_6234772,2019_6234761_6234772,2019,NA,NA,NA
6234701,F,pyramiden,6234761_6234701,2018_p_6234761_6234701,2018_p,1,NA,1
6234453,F,pyramiden,6234762_6234453,2019_6234762_6234453,2019,0,NA,0
6234453,F,pyramiden,6234762_6234453,2022_6234762_6234453,2022,NA,NA,NA
6234453,F,pyramiden,6234762_6234453,2018_p_6234762_6234453,2018_p,0,NA,0
6234530,F,pyramiden,6234763_6234530,2019_6234763_6234530,2019,0,NA,0
6234530,F,pyramiden,6234763_6234530,2021_6234763_6234530,2021,NA,NA,NA
6234452,F,pyramiden,6234764_6234452,2019_6234764_6234452,2019,0,NA,0
6234452,F,pyramiden,6234764_6234452,2021_6234764_6234452,2021,1,0,NA
Unringed,F,pyramiden,6234764_Unringed,2022_6234764_Unringed,2022,NA,NA,NA
6234452,F,pyramiden,6234764_6234452,2018_p_6234764_6234452,2018_p,0,NA,0
6234718,F,pyramiden,6234767_6234718,2019_6234767_6234718,2019,NA,NA,NA
6207505,F,pyramiden,6234767_6207505,2021_6234767_6207505,2021,NA,NA,NA
6234456,F,pyramiden,6234767_6234456,2018_p_6234767_6234456,2018_p,1,NA,1
6234550,F,pyramiden,6234768_6234550,2019_6234768_6234550,2019,0,NA,0
6234550,F,pyramiden,6234768_6234550,2021_6234768_6234550,2021,NA,NA,NA
6234550,F,pyramiden,6234768_6234550,2018_p_6234768_6234550,2018_p,0,NA,0
6234456,F,pyramiden,6234769_6234456,2021_6234769_6234456,2021,0,0,0
6234456,F,pyramiden,6234769_6234456,2022_6234769_6234456,2022,NA,NA,NA
6234457,F,pyramiden,6234769_6234457,2018_p_6234769_6234457,2018_p,NA,NA,NA
6234517,F,pyramiden,6234771_6234517,2018_p_6234771_6234517,2018_p,NA,NA,NA
6234505,F,pyramiden,6234775_6234505,2019_6234775_6234505,2019,0,NA,0
6234505,F,pyramiden,6234775_6234505,2021_6234775_6234505,2021,0,0,0
6234505,F,pyramiden,6234775_6234505,2022_6234775_6234505,2022,NA,NA,NA
6234505,F,pyramiden,6234775_6234505,2018_p_6234775_6234505,2018_p,0,NA,0
6234462,F,pyramiden,6234776_6234462,2019_6234776_6234462,2019,0,NA,0
6234462,F,pyramiden,6234776_6234462,2022_6234776_6234462,2022,NA,NA,NA
6234462,F,pyramiden,6234776_6234462,2018_p_6234776_6234462,2018_p,0,NA,0
6234506,F,pyramiden,6234778_6234506,2019_6234778_6234506,2019,NA,NA,NA
6234506,F,pyramiden,6234778_6234506,2018_p_6234778_6234506,2018_p,0,NA,0
6234463,F,pyramiden,6234779_6234463,2018_p_6234779_6234463,2018_p,1,NA,NA
6234463,F,pyramiden,6234780_6234463,2019_6234780_6234463,2019,0,NA,0
6234463,F,pyramiden,6234780_6234463,2021_6234780_6234463,2021,0,0,0
6234463,F,pyramiden,6234780_6234463,2022_6234780_6234463,2022,NA,NA,NA
6234464,F,pyramiden,6234780_6234464,2018_p_6234780_6234464,2018_p,1,NA,NA
6234529,F,pyramiden,6234782_6234529,2019_6234782_6234529,2019,NA,NA,NA
6234506,F,pyramiden,6234782_6234506,2021_6234782_6234506,2021,NA,NA,NA
6234529,F,pyramiden,6234782_6234529,2018_p_6234782_6234529,2018_p,0,NA,0
6234512,F,pyramiden,6234784_6234512,2019_6234784_6234512,2019,0,NA,0
6234512,F,pyramiden,6234784_6234512,2021_6234784_6234512,2021,NA,NA,NA
6234512,F,pyramiden,6234784_6234512,2018_p_6234784_6234512,2018_p,0,NA,0
6234746,F,pyramiden,6234786_6234746,2019_6234786_6234746,2019,NA,NA,0
6234746,F,pyramiden,6234786_6234746,2021_6234786_6234746,2021,NA,NA,NA
6234469,F,pyramiden,6234789_6234469,2018_p_6234789_6234469,2018_p,NA,NA,NA
6234790,F,pyramiden,6234792_6234790,2019_6234792_6234790,2019,0,NA,0
6234790,F,pyramiden,6234792_6234790,2021_6234792_6234790,2021,0,1,0
6234790,F,pyramiden,6234792_6234790,2022_6234792_6234790,2022,NA,NA,NA
6234472,F,pyramiden,6234792_6234472,2018_p_6234792_6234472,2018_p,1,NA,1
6234473,F,pyramiden,6234793_6234473,2019_6234793_6234473,2019,0,NA,0
6234473,F,pyramiden,6234793_6234473,2021_6234793_6234473,2021,0,1,0
6234473,F,pyramiden,6234793_6234473,2022_6234793_6234473,2022,NA,NA,NA
6234473,F,pyramiden,6234793_6234473,2018_p_6234793_6234473,2018_p,0,NA,0
6234475,F,pyramiden,6234794_6234475,2018_p_6234794_6234475,2018_p,NA,NA,NA
6234795,F,pyramiden,6234797_6234795,2019_6234797_6234795,2019,NA,NA,NA
6234514,F,pyramiden,6234797_6234514,2018_p_6234797_6234514,2018_p,1,NA,NA
6234515,F,pyramiden,6234798_6234515,2019_6234798_6234515,2019,NA,NA,NA
6234515,F,pyramiden,6234798_6234515,2018_p_6234798_6234515,2018_p,0,NA,0
6234548,F,pyramiden,6234799_6234548,2018_p_6234799_6234548,2018_p,NA,NA,NA
6234722,F,pyramiden,6255201_6234722,2022_6255201_6234722,2022,NA,NA,NA
6234701,F,pyramiden,6255203_6234701,2022_6255203_6234701,2022,NA,NA,NA
6207509,F,pyramiden,unringed_6207509,2022_unringed_6207509,2022,NA,NA,NA
6234574,F,pyramiden,Unringed_6234574,2022_Unringed_6234574,2022,NA,NA,NA
6234736,F,pyramiden,Unringed_6234736,2022_Unringed_6234736,2022,NA,NA,NA
