ring,sex,colony,pair_ID,cycle_pair,year_t,season_outcome,next_season,season_tru
6161669,M,grumant,6161669_6126228,2012_6161669_6126228,2012,NA,NA,NA
6161669,M,grumant,6161669_6141762,2014_6161669_6141762,2014,0,0,0
6161669,M,grumant,6161669_6141762,2015_6161669_6141762,2015,1,1,1
6161669,M,grumant,6161669_6126219,2016_6161669_6126219,2016,0,0,0
6161669,M,grumant,6161669_6126219,2017_6161669_6126219,2017,0,0,0
6161669,M,grumant,6161669_6126219,2018_g_6161669_6126219,2018_g,NA,NA,NA
6161674,M,grumant,6161674_6126233,2017_6161674_6126233,2017,NA,NA,NA
6161678,M,grumant,6161678_6191620,2018_g_6161678_6191620,2018_g,NA,NA,NA
6161686,M,grumant,6161686_6141775,2018_g_6161686_6141775,2018_g,NA,NA,NA
6162420,M,grumant,6162420_6177227,2010_6162420_6177227,2010,0,1,0
6162420,M,grumant,6162420_6177227,2011_6162420_6177227,2011,0,0,0
6162420,M,grumant,6162420_6177227,2012_6162420_6177227,2012,NA,NA,NA
6177201,M,grumant,6177201_680902,2010_6177201_680902,2010,NA,NA,NA
6177201,M,grumant,6177201_6177225,2012_6177201_6177225,2012,NA,NA,NA
6177203,M,grumant,6177203_6177208,2010_6177203_6177208,2010,0,1,0
6177203,M,grumant,6177203_6177208,2011_6177203_6177208,2011,0,1,0
6177203,M,grumant,6177203_6177208,2012_6177203_6177208,2012,0,0,0
6177203,M,grumant,6177203_6177208,2013_6177203_6177208,2013,0,0,0
6177203,M,grumant,6177203_6177208,2014_6177203_6177208,2014,0,1,0
6177203,M,grumant,6177203_6177208,2015_6177203_6177208,2015,0,1,0
6177203,M,grumant,6177203_6177208,2016_6177203_6177208,2016,1,0,1
6177203,M,grumant,6177203_6141774,2017_6177203_6141774,2017,0,0,0
6177203,M,grumant,6177203_6141774,2018_g_6177203_6141774,2018_g,NA,NA,NA
6177204,M,grumant,6177204_6177247,2009_6177204_6177247,2009,1,1,1
6177204,M,grumant,6177204_680914,2010_6177204_680914,2010,1,1,NA
6177204,M,grumant,6177204_6126201,2011_6177204_6126201,2011,0,0,0
6177204,M,grumant,6177204_6126201,2012_6177204_6126201,2012,0,0,0
6177204,M,grumant,6177204_6126201,2013_6177204_6126201,2013,1,0,1
6177204,M,grumant,6177204_680909,2014_6177204_680909,2014,1,1,1
6177204,M,grumant,6177204_6161667,2015_6177204_6161667,2015,0,1,0
6177204,M,grumant,6177204_6161667,2016_6177204_6161667,2016,0,0,0
6177204,M,grumant,6177204_6161667,2017_6177204_6161667,2017,0,0,0
6177204,M,grumant,6177204_6161667,2018_g_6177204_6161667,2018_g,NA,NA,NA
6177206,M,grumant,6177206_680907,2010_6177206_680907,2010,1,1,NA
6177206,M,grumant,6177206_680909,2011_6177206_680909,2011,0,1,0
6177206,M,grumant,6177206_680909,2012_6177206_680909,2012,NA,NA,NA
6177206,M,grumant,6177206_6126201,2014_6177206_6126201,2014,0,1,0
6177206,M,grumant,6177206_6126201,2015_6177206_6126201,2015,0,1,0
6177206,M,grumant,6177206_6126201,2016_6177206_6126201,2016,0,0,0
6177206,M,grumant,6177206_6126201,2017_6177206_6126201,2017,0,0,0
6177206,M,grumant,6177206_6126201,2018_g_6177206_6126201,2018_g,NA,NA,NA
6177207,M,grumant,6177207_6177246,2010_6177207_6177246,2010,0,1,0
6177207,M,grumant,6177207_6177246,2011_6177207_6177246,2011,0,1,0
6177207,M,grumant,6177207_6177246,2012_6177207_6177246,2012,0,0,0
6177207,M,grumant,6177207_6177246,2013_6177207_6177246,2013,NA,NA,NA
6177209,M,grumant,6177209_6177211,2011_6177209_6177211,2011,0,1,0
6177209,M,grumant,6177209_6177211,2012_6177209_6177211,2012,NA,NA,NA
6177209,M,grumant,6177209_680939,2014_6177209_680939,2014,0,1,0
6177209,M,grumant,6177209_680939,2015_6177209_680939,2015,0,1,0
6177209,M,grumant,6177209_680939,2016_6177209_680939,2016,0,0,0
6177209,M,grumant,6177209_680939,2017_6177209_680939,2017,0,0,0
6177209,M,grumant,6177209_680939,2018_g_6177209_680939,2018_g,NA,NA,NA
