male_ring,female_ring,colony,pair_ID,cycle_pair,year,nest,chick_sur,season_outcome,ulti_outcome,missed_seasons,male_next_season_sur,female_next_season_sur,male_pers,female_pers,absol
6177219,680932,grumant,6177219_680932,2011_6177219_680932,2011,M#0001,1,1,1,0,NA,1,NA,1.6661128,NA
6177222,680907,grumant,6177222_680907,2009_6177222_680907,2009,J#0002,1,1,1,0,NA,1,NA,NA,NA
6177222,6177307,grumant,6177222_6177307,2011_6177222_6177307,2011,K#0005,1,0,0,0,0,0,NA,NA,NA
6177222,6177307,grumant,6177222_6177307,2012_6177222_6177307,2012,K#0005,0,1,1,0,0,NA,NA,NA,NA
6177222,6126233,grumant,6177222_6126233,2013_6177222_6126233,2013,K#0005,0,1,1,0,NA,0,NA,1.23282592,NA
6177223,6177214,grumant,6177223_6177214,2010_6177223_6177214,2010,K#0003,1,1,1,0,1,NA,2.12197104,NA,NA
6177223,6126208,grumant,6177223_6126208,2011_6177223_6126208,2011,K#0003,1,1,1,0,0,NA,2.12197104,NA,NA
6177223,6126231,grumant,6177223_6126231,2012_6177223_6126231,2012,K#0003,0,NA,1,1,NA,NA,2.12197104,NA,NA
6177223,680908,grumant,6177223_680908,2014_6177223_680908,2014,K#0003,0,0,0,0,1,1,2.12197104,NA,NA
6177223,680908,grumant,6177223_680908,2015_6177223_680908,2015,K#0003,1,1,1,0,0,NA,2.12197104,NA,NA
6177223,6141779,grumant,6177223_6141779,2016_6177223_6141779,2016,K#0003,0,NA,1,1,NA,NA,2.12197104,NA,NA
6177223,6161680,grumant,6177223_6161680,2018_g_6177223_6161680,2018_g,K#0003,0,NA,NA,NA,NA,NA,2.12197104,0.07063578,2.05133526
6177224,680911,grumant,6177224_680911,2010_6177224_680911,2010,M#0003,1,0,0,0,0,0,0.696605605,NA,NA
6177224,680911,grumant,6177224_680911,2011_6177224_680911,2011,M#0003,0,1,1,0,0,NA,0.696605605,NA,NA
6177224,6126233,grumant,6177224_6126233,2012_6177224_6126233,2012,M#0003,0,1,1,0,NA,0,0.696605605,1.23282592,0.536220315
6177224,680937,grumant,6177224_680937,2014_6177224_680937,2014,M#0003,0,0,0,0,0,0,0.696605605,0.75486907,0.058263465
6177224,680937,grumant,6177224_680937,2015_6177224_680937,2015,M#0003,0,1,1,0,1,1,0.696605605,0.75486907,0.058263465
6177224,6126006,grumant,6177224_6126006,2016_6177224_6126006,2016,M#0003,1,0,0,0,0,0,0.696605605,0.007106512,0.689499093
6177224,6126006,grumant,6177224_6126006,2017_6177224_6126006,2017,M#0003,0,NA,NA,NA,NA,NA,0.696605605,0.007106512,0.689499093
6177243,6126234,grumant,6177243_6126234,2012_6177243_6126234,2012,N#0003,1,NA,1,1,NA,NA,NA,NA,NA
6177248,6177205,grumant,6177248_6177205,2010_6177248_6177205,2010,J#0003,1,0,0,0,1,1,2.148325396,NA,NA
