male_ring,female_ring,colony,pair_ID,cycle_pair,year,nest,chick_sur,season_outcome,ulti_outcome,missed_seasons,male_next_season_sur,female_next_season_sur,male_pers,female_pers,absol
6234769,6234457,pyramiden,6234769_6234457,2018_p_6234769_6234457,2018_p,F3,0,NA,1,2,NA,NA,1.217354724,0.948004064,0.26935066
6234771,6234517,pyramiden,6234771_6234517,2018_p_6234771_6234517,2018_p,F1,1,NA,NA,NA,NA,NA,1.418490468,-0.720359298,2.138849766
6234775,6234505,pyramiden,6234775_6234505,2019_6234775_6234505,2019,D4,NA,0,0,1,NA,NA,-0.182088716,-0.097586691,0.084502025
6234775,6234505,pyramiden,6234775_6234505,2021_6234775_6234505,2021,D5,1,0,0,0,0,0,-0.182088716,-0.097586691,0.084502025
6234775,6234505,pyramiden,6234775_6234505,2022_6234775_6234505,2022,D5,0,NA,NA,NA,NA,NA,-0.182088716,-0.097586691,0.084502025
6234775,6234505,pyramiden,6234775_6234505,2018_p_6234775_6234505,2018_p,D4,1,0,0,0,NA,NA,-0.182088716,-0.097586691,0.084502025
6234776,6234462,pyramiden,6234776_6234462,2019_6234776_6234462,2019,D3,NA,0,0,1,NA,NA,0.548887138,-0.454872937,1.003760075
6234776,6234462,pyramiden,6234776_6234462,2022_6234776_6234462,2022,D3,1,NA,NA,NA,NA,NA,0.548887138,-0.454872937,1.003760075
6234776,6234462,pyramiden,6234776_6234462,2018_p_6234776_6234462,2018_p,D3,1,0,0,0,NA,NA,0.548887138,-0.454872937,1.003760075
6234778,6234506,pyramiden,6234778_6234506,2019_6234778_6234506,2019,C4,NA,NA,1,1,NA,NA,-0.806955456,1.43151938,2.238474836
6234778,6234506,pyramiden,6234778_6234506,2018_p_6234778_6234506,2018_p,C4,1,0,0,0,NA,NA,-0.806955456,1.43151938,2.238474836
6234779,6234463,pyramiden,6234779_6234463,2018_p_6234779_6234463,2018_p,D1,1,1,1,0,NA,NA,-0.804819683,0.036728997,0.84154868
6234780,6234463,pyramiden,6234780_6234463,2019_6234780_6234463,2019,D1,NA,0,0,1,NA,NA,0.738061922,0.036728997,0.701332925
6234780,6234463,pyramiden,6234780_6234463,2021_6234780_6234463,2021,D1,1,0,0,0,0,0,0.738061922,0.036728997,0.701332925
6234780,6234463,pyramiden,6234780_6234463,2022_6234780_6234463,2022,D1,0,NA,NA,NA,NA,NA,0.738061922,0.036728997,0.701332925
6234780,6234464,pyramiden,6234780_6234464,2018_p_6234780_6234464,2018_p,C3,0,1,1,0,NA,NA,0.738061922,-0.729450792,1.467512714
6234782,6234529,pyramiden,6234782_6234529,2019_6234782_6234529,2019,C1,NA,NA,1,1,NA,NA,0.359671114,0.679465989,0.319794875
6234782,6234506,pyramiden,6234782_6234506,2021_6234782_6234506,2021,C1,1,NA,NA,NA,NA,NA,0.359671114,1.43151938,1.071848266
6234782,6234529,pyramiden,6234782_6234529,2018_p_6234782_6234529,2018_p,C1,0,0,0,0,NA,NA,0.359671114,0.679465989,0.319794875
6234784,6234512,pyramiden,6234784_6234512,2019_6234784_6234512,2019,K2,NA,0,0,1,NA,NA,0.961598207,0.89273466,0.068863547
6234784,6234512,pyramiden,6234784_6234512,2021_6234784_6234512,2021,K2,1,NA,NA,NA,NA,NA,0.961598207,0.89273466,0.068863547
6234784,6234512,pyramiden,6234784_6234512,2018_p_6234784_6234512,2018_p,K1,0,0,0,0,NA,NA,0.961598207,0.89273466,0.068863547
6234786,6234746,pyramiden,6234786_6234746,2019_6234786_6234746,2019,K4,NA,NA,0,1,NA,NA,0.049223359,0.957152716,0.907929357
6234786,6234746,pyramiden,6234786_6234746,2021_6234786_6234746,2021,K4,1,NA,NA,NA,NA,NA,0.049223359,0.957152716,0.907929357
6234789,6234469,pyramiden,6234789_6234469,2018_p_6234789_6234469,2018_p,K7,0,NA,NA,NA,NA,NA,1.180808282,-0.809462896,1.990271178
6234792,6234790,pyramiden,6234792_6234790,2019_6234792_6234790,2019,L1,NA,0,0,1,NA,NA,1.467566949,-0.545649588,2.013216537
6234792,6234790,pyramiden,6234792_6234790,2021_6234792_6234790,2021,L1,0,0,0,0,1,1,1.467566949,-0.545649588,2.013216537
6234792,6234790,pyramiden,6234792_6234790,2022_6234792_6234790,2022,L1,1,NA,NA,NA,NA,NA,1.467566949,-0.545649588,2.013216537
6234792,6234472,pyramiden,6234792_6234472,2018_p_6234792_6234472,2018_p,L3,0,1,1,0,NA,NA,1.467566949,0.60057399,0.866992959
6234793,6234473,pyramiden,6234793_6234473,2019_6234793_6234473,2019,L4,NA,0,0,1,NA,NA,-0.62521835,1.483663693,2.108882043
6234793,6234473,pyramiden,6234793_6234473,2021_6234793_6234473,2021,L4,1,0,0,0,1,1,-0.62521835,1.483663693,2.108882043
6234793,6234473,pyramiden,6234793_6234473,2022_6234793_6234473,2022,L4,1,NA,NA,NA,NA,NA,-0.62521835,1.483663693,2.108882043
6234793,6234473,pyramiden,6234793_6234473,2018_p_6234793_6234473,2018_p,L4,1,0,0,0,NA,NA,-0.62521835,1.483663693,2.108882043
6234794,6234475,pyramiden,6234794_6234475,2018_p_6234794_6234475,2018_p,M1,0,NA,NA,NA,NA,NA,1.534336935,-0.843055749,2.377392684
6234797,6234795,pyramiden,6234797_6234795,2019_6234797_6234795,2019,M4,NA,NA,1,1,NA,NA,1.612737588,1.405691235,0.207046353
6234797,6234514,pyramiden,6234797_6234514,2018_p_6234797_6234514,2018_p,M4,1,1,1,0,NA,NA,1.612737588,-0.747351836,2.360089424
6234798,6234515,pyramiden,6234798_6234515,2019_6234798_6234515,2019,N1,NA,NA,1,1,NA,NA,0.050070695,1.443180535,1.39310984
6234798,6234515,pyramiden,6234798_6234515,2018_p_6234798_6234515,2018_p,N1,0,0,0,0,NA,NA,0.050070695,1.443180535,1.39310984
6234799,6234548,pyramiden,6234799_6234548,2018_p_6234799_6234548,2018_p,N2,1,NA,1,2,NA,NA,0.871993423,1.786986752,0.914993329
6255201,6234722,pyramiden,6255201_6234722,2022_6255201_6234722,2022,K1,0,NA,NA,NA,NA,NA,NA,-0.375318066,NA
6255203,6234701,pyramiden,6255203_6234701,2022_6255203_6234701,2022,H3,0,NA,NA,NA,NA,NA,NA,NA,NA
unringed,6207509,pyramiden,unringed_6207509,2022_unringed_6207509,2022,L3,1,NA,NA,NA,NA,NA,NA,1.341801311,NA
Unringed,6234574,pyramiden,Unringed_6234574,2022_Unringed_6234574,2022,Q1,0,NA,NA,NA,NA,NA,NA,NA,NA
Unringed,6234736,pyramiden,Unringed_6234736,2022_Unringed_6234736,2022,H5,0,NA,NA,NA,NA,NA,NA,1.249114532,NA
